61cte:-0.00228451,etheta:-0.353852,cmd_vel.linear.x:1,cmd_vel.angular.z:0.400047
62cte:0.0210317,etheta:-0.534311,cmd_vel.linear.x:1,cmd_vel.angular.z:0.298489
63cte:-0.00456624,etheta:-0.499101,cmd_vel.linear.x:1,cmd_vel.angular.z:0.294342
64cte:-0.00549052,etheta:-0.5395,cmd_vel.linear.x:1,cmd_vel.angular.z:0.245055
65cte:-0.0330522,etheta:-0.501081,cmd_vel.linear.x:1,cmd_vel.angular.z:0.26973
66cte:-0.0195661,etheta:-0.636595,cmd_vel.linear.x:1,cmd_vel.angular.z:0.211083
67cte:-0.00483267,etheta:-0.850572,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.191933
68cte:-0.0287182,etheta:-0.823837,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.351751
69cte:0.010321,etheta:-0.962848,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.342052
70cte:-0.0485506,etheta:-0.906867,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.41007
71cte:-0.025045,etheta:-1.0614,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.397495
72cte:-0.0214569,etheta:-1.13675,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.567963
73cte:-0.0690015,etheta:-1.10539,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.638288
74cte:-0.111669,etheta:-1.09471,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.651595
75cte:-0.221312,etheta:-0.996572,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.773721
76cte:-0.206968,etheta:-1.06393,cmd_vel.linear.x:0.8,cmd_vel.angular.z:0.815644
77cte:-0.16383,etheta:-1.08303,cmd_vel.linear.x:0.72,cmd_vel.angular.z:1.55443
78cte:-0.20795,etheta:-1.0478,cmd_vel.linear.x:0.72,cmd_vel.angular.z:2.68228
79cte:-0.28234,etheta:-1.01257,cmd_vel.linear.x:0.72,cmd_vel.angular.z:2.7479
80cte:-0.318704,etheta:-0.972242,cmd_vel.linear.x:0.72,cmd_vel.angular.z:3.08465
81cte:-0.413527,etheta:-0.815794,cmd_vel.linear.x:0.72,cmd_vel.angular.z:3.12517
82cte:-0.413527,etheta:-0.815794,cmd_vel.linear.x:0.72,cmd_vel.angular.z:3.36397
83cte:-0.486793,etheta:-0.598578,cmd_vel.linear.x:0.72,cmd_vel.angular.z:3.36397
84cte:-0.599138,etheta:-0.0652657,cmd_vel.linear.x:0.9,cmd_vel.angular.z:4.2691
85cte:-0.673602,etheta:0.606449,cmd_vel.linear.x:0.9,cmd_vel.angular.z:4.30477
86cte:-0.688955,etheta:1.07514,cmd_vel.linear.x:0.72,cmd_vel.angular.z:3.32049
87cte:-0.592158,etheta:1.12045,cmd_vel.linear.x:0.72,cmd_vel.angular.z:3.04642
88cte:-0.404913,etheta:0.585005,cmd_vel.linear.x:0.72,cmd_vel.angular.z:2.80368
89cte:-0.445033,etheta:0.229328,cmd_vel.linear.x:0.9,cmd_vel.angular.z:2.66247
90cte:-0.52611,etheta:-0.086568,cmd_vel.linear.x:0.9,cmd_vel.angular.z:2.27794
91cte:-0.574922,etheta:-0.131056,cmd_vel.linear.x:0.9,cmd_vel.angular.z:1.61235
92cte:-0.708779,etheta:-0.13536,cmd_vel.linear.x:0.9,cmd_vel.angular.z:0.548867
93cte:-0.755216,etheta:-0.0735372,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-0.231594
94cte:-0.79638,etheta:0.0237136,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-0.781333
95cte:-0.802456,etheta:0.0632728,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-1.28836
96cte:-0.819876,etheta:0.11446,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-1.77209
97cte:-0.817071,etheta:0.154094,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-1.47754
98cte:-0.820413,etheta:0.214221,cmd_vel.linear.x:0.9,cmd_vel.angular.z:-2.07998
